"filtername","neg","positivecount","negcount","maxl","number_hash","mean_avrtime_ms","st_dev"
"harvest-2020_3_05","true","40370","959630","","3","0.032253298093","0.02917450024890237"
"harvest-2020_3_05","false","1000000",0","","3","0.031903416062","0.02971971127635732"
"harvest-2020_3_05","true","40368","959632","<200","3","0.032054928205","0.006019534931902215"
"Harvest-2020_3_05","false","1000000","0","<200","3","0.031966660801","0.006187517729025008"


"harvest-2020_054","true","33811","966189","","4","0.033257220977","0.006731462997302571"
"harvest-2020_054","false","1000000","0","","4","0.033040213885","0.030300846473127006"
"harvest-2020_054","true","33888","966112","<200","4","0.033101127666","0.008447308399107498"
"Harvest-2020_054","false","1000000","0","<200","4","0.033032123074000004","0.009013536883718205"

"harvest-2020_0545","true","32239","967761","","5","0.034393527465000004","0.03031277314236079"
"harvest-2020_0545","false","1000000","0","","5","0.034309086652","0.030054103438799724"
"harvest-2020_0545","true","32285","967715","<200","5","0.034305650568","0.030926090581462985"
"Harvest-2020_0545","false","1000000","0","<200","5","0.034205110025","0.030234173744196874"

"harvest-2020_056","true","34006","965994","","6","0.035686733523","0.00951984452331773"
"harvest-2020_056","false","1000000","0","","6","0.035375638416","0.01038044523311435"
"harvest-2020_056","true","34126","965874","<200","6","0.035499963237","0.011380811729255582"
"Harvest-2020_056","false","1000000","0","<200","6","0.035334494418","0.008814876565737793"

"harvest-2020_0569","true","49942","950058","","9","0.039224692157","0.03106442200211181"
"harvest-2020_0569","false","1000000","0","","9","0.039114078508","0.012223705508106168"
"harvest-2020_0569","true","49963","950037","<200","9","0.039169890141","0.014249615245934828"
"Harvest-2020_0569","false","1000000","0","<200","9","0.038973107506","0.0135658805723104"

"harvest-2020_056912","true","85031","914969","","12","0.042997965575","0.03157452486734409"
"harvest-2020_056912","false","1000000","0","","12","0.04287512285","0.015532485662815012"
"harvest-2020_056912","true","85038","914962","<200","12","0.04279621927","0.014682854422865727"
"Harvest-2020_056912","false","1000000","0","<200","12","0.042666577743","0.03362363542629901"

"harvest-2020_05691215","true","141868","858132","","15","0.046615373873","0.03388610053187909"
"harvest-2020_05691215","false","1000000","0","","15","0.046488042162","0.017691867418111715"
"harvest-2020_05691215","true","141981","858019","<200","15","0.0463770431","0.03511460106831116"
"Harvest-2020_05691215","false","1000000","0","<200","15","0.046167214133","0.0164578165906596"

"harvest-2020_0569121518","true","222276","777724","","18","0.050062642824000005","0.020459728623156564"
"harvest-2020_0569121518","false","1000000","0","","18","0.049843117096","0.037144067160083255"
"harvest-2020_0569121518","true","222318","777682","<200","18","0.049795671955","0.02100614750470832"
"Harvest-2020_0569121518","false","1000000","0","<200","18","0.04961950327799999","0.03682308324791945"

"harvest-2020_056912151821","true","321103","678897","","21","0.053666842749","0.047407316504006584"
"harvest-2020_056912151821","false","1000000","0","","21","0.053456619931","0.03723486580896908"
"harvest-2020_056912151821","true","321010","678990","<200","21","0.05339569862599999","0.02416425692382166"
"harvest-2020_056912151821","false","1000000","0","<200","21","0.053235679553","0.02569437070172414"

